zone;parcelle;zone_eco;lat;long;sup zone (ha);sup parcelle (ha);tot_drymass;aerial_drymass;root_drymass;n_trees;total_C;n_living_trees;mean_dhp;max_dhp;mean_height;dom_sp;est_age;
18;18A;Jeune pinäde blanche;46.34558333;-72.586;0.213;0.04;8861;6877;1984;95;4735;84;14.9;29;14.1;PIB;45;
4;4A;Jeune pinäde blanche;46.34991667;-72.57577778;0.552;0.04;11379;8896;2483;50;6236;50;23.5;33.9;13.6;PIB;45;
13;13A;mixte;46.34742778;-72.58229167;1.441;0.04;6035;4692;1343;51;3146;38;16.6;28.9;13.6;BOP;45;
17;17A;mixte;46.34655556;-72.583;2.789;0.04;13721;10766;2955;57;7651;42;22.2;79.1;16.9;PIB/PIG;45;
17;17B;mixte;46.34652778;-72.58397222;2.782;0.04;9865;7726;2140;40;5397;29;23.5;42.4;18.3;PIB;45;
17;17C;mixte;46.34597222;-72.58511111;2.782;0.04;10449;8200;2250;39;5727;34;22.8;49.2;15.1;PIB;45;
17;17D;mixte;46.3465;-72.58475;2.782;0.04;6449;5023;1426;49;3425;41;17.2;35.2;13.0;PIB/ERR;45;
20;20A;Mixte surannÇ;46.34511111;-72.58601389;1.761;0.04;13441;10583;2858;28;7375;27;23.8;55.4;17.1;Mixte;50;
20;20B;Mixte surannÇ;46.34480556;-72.58511111;1.761;0.04;20148;15939;4209;18;11114;17;39.9;72.2;20.0;Mixte;70;
20;20C;Mixte surannÇ;46.34298056;-72.5843;1.761;0.04;13799;10865;2934;33;7316;32;22.6;68.8;16.5;Feuillu;55;
11;11A;Pessiäre Norväge;46.34878889;-72.58244444;0.168;0.04;6842;5349;1493;33;3639;33;22.2;38.1;15.6;EPB/EPO;45;
24;24A;Pinäde blanche_grise;46.34440833;-72.58203611;1.846;0.04;6985;5429;1556;61;3669;48;16.4;27.8;15.0;PIG;55;
24;24B;Pinäde blanche_grise;46.343825;-72.58211389;1.846;0.04;13198;10347;2851;38;7225;28;27.5;41.5;22.6;PIB;70;
12;12A;Pinäde grise;46.34810278;-72.58057778;1.165;0.04;6449;5014;1435;53;3369;52;17.2;26.6;14.0;PIG;45;
12;12B;Pinäde grise;46.34802778;-72.58155556;1.165;0.04;4421;3441;979;34;2328;31;18.1;29.2;13.8;PIG;45;
14;14A;Pinäde grise;46.3468;-72.58093056;0.517;0.04;7449;5808;1641;49;3926;49;18.6;33.2;13.7;PIG;45;
16;16A;Pinäde grise;46.34674722;-72.57911667;0.210;0.04;8750;6825;1925;61;4642;48;19.3;41.4;14.1;PIG;55;
21;21A;Pinäde grise;46.34625556;-72.58209167;0.234;0.04;7185;5614;1572;40;3926;27;20.8;39.8;16.3;PIG;45;
23;23A;Pinäde grise;46.34471944;-72.58463889;1.510;0.04;11856;9296;2560;40;6307;30;24.0;50.9;16.8;PIG/PIB;55;
23;23B;Pinäde grise;46.34482778;-72.58276111;1.510;0.04;8436;6584;1852;44;4355;35;20.2;37.9;16.9;PIG/PIB;55;
23;23C;Pinäde grise;46.3445;-72.58302778;1.510;0.04;8191;6384;1807;50;4296;39;18.9;31.5;17.5;PIG/PIB;55;
2;2A;Pinäde grise;46.34838056;-72.57331389;0.786;0.04;5412;4211;1201;41;2832;37;18.5;30;14.2;PIG;45;
2;2B;Pinäde grise;46.34886111;-72.57277778;0.786;0.04;6920;5387;1533;49;3599;44;17.8;26.7;15.6;PIG;45;
6;6A;Pinäde grise;46.35066667;-72.57769444;2.086;0.04;4048;3159;889;21;2112;20;21.7;30.2;15.4;PIG;45;
6;6B;Pinäde grise;46.35088889;-72.57858333;2.086;0.04;4594;3574;1020;35;2404;34;17.9;26.4;14.4;PIG;55;
6;6C;Pinäde grise;46.35083333;-72.5795;2.086;0.04;4913;3835;1078;26;2600;24;20.4;39.9;15.8;PIG;45;
6;6D;Pinäde grise;46.35052778;-72.58025;2.086;0.04;4405;3433;972;28;2313;27;19.1;28.6;15.0;PIG;45;
7;7A;Pinäde grise;46.34995833;-72.58004722;0.386;0.04;7730;6035;1695;48;4160;43;18.8;38.7;14.1;PIG;45;
7;7B;Pinäde grise;46.34989722;-72.579475;0.386;0.04;4330;3363;967;42;2265;42;16.0;23.8;12.8;PIG;45;
7;7C;Pinäde grise;46.34954722;-72.57946667;0.386;0.04;7429;5800;1629;38;3920;38;20.6;40.9;15.3;PIG;45;
26;26A;Pinäde rouge;46.34357778;-72.58325;1.846;0.04;12478;9776;2703;36;6692;32;26.8;37.4;22.1;PIR;70;
1;1A;Pinäde Sylvestre;46.34808056;-72.573225;0.151;0.04;5455;4268;1187;24;2887;24;24.5;32.9;13.5;PIS;45;
19;19A;Vieille pinäde blanche;46.34337778;-72.58364444;1.509;0.04;6370;4972;1398;34;3360;25;19.5;32.4;17.2;PIB/PIR;70;
19;19B;Vieille pinäde blanche;46.34308333;-72.58333333;1.509;0.04;10506;8246;2260;28;5537;25;25.6;45.1;19.8;PIB/PIR;70;
19;19C;Vieille pinäde blanche;46.34263056;-72.58275556;1.509;0.04;13668;10730;2938;41;8612;23;22.1;55;18.8;PIB;70;
25;25A;Vieille pinäde blanche;46.34305278;-72.58242222;0.407;0.04;16433;12910;3523;36;9068;26;31.9;49.5;25.9;PIB;70;
